"","home","Pts","X1stD","TotYd","TOLost","TOGained","Cmp","SkYds","QBR","RA","Pnt","ToP","X3DRate"
"4199",1,7,16,304,1,2,15,10,92.2,32,5,1745,0.307692307692308
"4200",1,31,21,376,4,5,20,5,87.2,36,3,2079,0.357142857142857
"4201",0,14,13,257,3,1,13,24,81.4,25,6,1494,0.272727272727273
"4202",1,10,26,471,3,0,34,22,75.3,20,0,1898,0.5
"4203",1,17,18,372,3,3,18,12,77.5,32,7,2005,0.25
"4204",0,34,26,414,2,2,27,0,89.1,32,4,2331,0.357142857142857
"4205",1,28,24,334,1,3,20,10,103.1,30,6,1962,0.384615384615385
"4206",0,41,25,497,5,2,25,9,99.3,37,3,2251,0.384615384615385
"4207",0,41,30,487,1,3,21,0,125.8,47,1,2554,0.461538461538462
"4208",1,20,25,480,3,1,33,0,88.3,28,4,2271,0.4
"4209",0,17,13,208,5,2,20,0,53.5,19,4,1556,0.454545454545455
"4210",1,24,17,361,0,2,14,0,117.7,26,3,1473,0.3
"4211",1,31,22,358,1,6,15,0,62.2,36,7,2068,0.2
"4212",0,21,21,395,2,1,22,5,58.6,28,7,1962,0.230769230769231
"4213",1,31,20,364,2,3,23,25,102.9,31,7,2009,0.470588235294118
"4214",0,17,16,386,6,1,17,5,63,21,4,1379,0.333333333333333
"4215",0,17,14,325,1,4,17,0,83,32,7,1940,0.3125
"4216",0,14,15,315,1,1,18,28,67.2,20,6,1644,0.1
"4217",1,28,22,323,1,2,19,19,91.5,38,7,2052,0.333333333333333
"4218",0,29,14,334,0,3,16,22,141.7,25,4,1389,0.416666666666667
"4219",0,31,24,360,2,2,27,15,106.9,24,5,1681,0.461538461538462
"4220",1,25,21,464,5,3,24,25,89.2,25,7,1874,0.0833333333333333
"4221",1,27,24,414,0,2,21,0,94.8,33,3,1847,0.454545454545455
"4222",1,20,21,402,0,1,31,5,106.2,23,4,1946,0.5
"4223",0,24,23,361,2,4,20,0,77.9,29,8,1817,0.285714285714286
"4224",0,20,21,395,2,1,26,9,83.5,29,2,2076,0.5
"4225",1,10,12,278,2,3,18,15,72.2,17,9,1422,0.357142857142857
"4226",0,24,29,465,2,0,33,14,100.7,22,2,1888,0.454545454545455
"4227",1,35,24,447,2,1,23,0,100.7,20,4,1617,0.454545454545455
"4228",0,37,28,510,1,1,27,0,90.7,31,4,2059,0.428571428571429
"4229",1,10,22,324,3,2,23,24,43,18,4,1500,0.333333333333333
"4230",0,29,11,332,1,3,9,8,60.3,26,9,1434,0.266666666666667
