"","Pts","1stD","TotYd","PassY","RushY","TO","Cmp","PA","Sk","SkYds","QBR","RA","Pnt","PntYds","3DConv","3DAtt","4DConv","4DAtt","ToP"
"2","34","19","352","276","76","3","18","27","2","21","112.6","26","3","142","6","11","0","0","28:32"
"3","10","11","213","146","67","","17","32","1","4","75.8","13","8","381","2","12","0","1","22:16"
"4","6","12","258","187","71","1","19","29","2","10","69.2","18","4","170","2","10","0","2","27:41"
"5","24","13","328","164","164","","16","24","1","7","125.7","26","7","348","5","13","0","0","26:47"
"6","10","17","334","143","191","4","12","31","3","18","24.7","36","4","181","5","18","1","1","33:43"
"8","24","16","308","150","158","1","15","23","2","13","83.6","26","5","244","1","9","0","0","24:27"
"9","27","16","388","191","197","1","14","23","0","0","101.9","41","8","436","1","12","0","0","31:58"
"10","18","18","320","160","160","","18","33","1","8","67.7","36","8","372","2","16","1","1","32:27"
"11","13","12","285","191","94","2","17","37","1","9","50.6","21","6","296","4","14","0","2","25:38"
"12","13","13","213","131","82","4","12","26","1","5","74.4","29","8","367","3","13","0","0","27:08"
"13","7","19","345","251","94","3","36","53","1","8","54.8","17","5","225","6","15","1","3","29:53"
"14","3","9","212","146","66","1","15","35","0","0","43.3","15","8","436","1","12","1","2","20:13"
"15","21","15","317","114","203","2","14","22","1","10","57.8","29","6","284","4","11","0","0","26:10"
"16","31","16","319","221","98","","14","17","2","13","158.0","33","5","220","2","10","0","0","28:40"
"17","23","14","205","103","102","","14","23","0","0","86.0","30","6","240","5","12","0","0","27:54"
"18","16","21","364","231","133","","22","38","0","0","75.7","33","5","259","3","13","0","1","38:30"
"21","0","10","185","120","65","2","17","35","2","10","33.0","23","10","431","3","15","1","2","27:50"
"31","9","17","283","219","64","","18","30","3","20","82.5","25","6","237","3","12","0","0","29:57"
"41","37","18","320","183","137","2","14","26","1","7","85.9","33","5","256","6","13","0","0","26:24"
"51","17","12","288","247","41","1","18","30","2","19","108.6","23","6","277","6","14","0","1","27:51"
"61","19","23","345","243","102","3","21","31","4","28","64.3","29","2","109","4","12","0","2","35:34"
"7","28","23","387","311","76","1","27","32","1","10","125.4","22","2","94","6","9","0","1","27:48"
"81","10","20","345","271","74","4","32","53","3","20","48.5","20","7","322","9","19","1","1","35:03"
"101","10","18","339","280","59","1","27","46","4","16","74.5","17","5","243","4","14","2","3","25:48"
"111","9","16","280","155","125","","17","30","3","10","70.8","34","7","362","6","17","0","0","34:29"
"121","10","12","227","125","102","1","17","31","1","9","64.6","28","8","364","2","13","1","1","31:19"
"131","21","13","247","178","69","2","20","32","3","36","95.6","17","6","294","2","10","0","1","24:04"
"141","10","7","162","126","36","2","14","32","4","35","39.3","13","8","430","1","12","1","1","22:03"
"151","14","21","312","208","104","5","24","41","3","27","51.7","23","7","340","6","14","0","0","32:52"
"161","3","13","183","136","47","","18","35","4","31","61.1","17","4","216","3","12","0","4","27:29"
"171","21","13","177","78","99","2","11","24","4","12","33.0","29","8","368","4","13","1","1","28:57"
"181","6","9","123","71","52","3","17","28","7","72","35.4","22","7","337","2","14","1","2","32:02"
"22","46","19","373","310","63","1","22","30","1","8","117.4","33","5","218","5","14","0","0","34:25"
"32","20","14","332","235","97","2","15","25","2","12","87.9","22","4","182","5","12","1","1","23:41"
"42","41","26","418","292","126","2","22","28","0","0","145.8","32","2","113","8","12","0","0","29:43"
"52","35","24","412","244","168","","21","36","1","11","97.5","31","2","108","5","13","0","0","30:32"
"62","10","21","375","275","100","5","22","47","2","13","47.7","22","3","136","8","15","0","1","28:44"
"71","27","12","249","107","142","1","11","21","3","17","82.8","32","7","322","4","13","0","0","28:01"
"82","33","28","425","228","197","1","22","37","1","7","75.1","40","2","119","13","19","0","0","39:01"
"102","51","20","473","311","162","","14","22","0","0","146.8","39","2","75","6","12","0","1","30:30"
"112","33","19","443","339","104","","26","38","3","22","122.6","25","4","205","6","16","0","1","31:31"
"122","7","15","254","209","45","1","23","37","2","16","77.4","17","6","254","3","11","0","1","22:38"
"132","26","24","415","327","88","1","28","44","4","27","91.8","25","3","138","3","14","0","0","35:26"
"142","32","18","303","213","90","1","21","31","1","7","95.2","24","4","207","3","11","1","1","28:58"
"152","35","17","307","198","109","2","16","26","2","1","110.7","17","5","282","2","7","0","0","20:48"
"162","42","19","352","108","244","1","15","23","2","16","86.9","43","5","213","6","16","1","3","36:46"
"172","27","20","402","286","116","1","22","39","1","15","113.8","26","4","200","6","14","1","2","30:04"
"182","13","15","251","149","102","2","20","34","3","20","69.4","26","7","341","5","15","1","1","30:51"
"23","33","23","365","225","140","","18","33","1","8","96.1","26","2","117","4","11","0","0","28:29"
"33","34","24","432","342","90","1","24","32","2","12","106.5","33","2","102","8","15","1","3","34:08"
"43","35","33","521","350","171","2","29","36","1","4","123.4","35","1","49","8","11","0","0","34:16"
"53","38","25","556","456","100","","26","34","1","9","157.5","20","2","71","1","6","0","1","27:46"
"63","33","30","468","313","155","2","23","32","1","8","87.1","30","1","38","3","9","1","1","29:30"
"72","23","24","444","174","270","1","14","28","5","27","54.8","39","3","120","8","17","1","1","35:10"
"83","39","20","339","193","146","","18","24","1","9","125.9","36","4","122","5","12","0","0","32:51"
"91","29","23","416","281","135","","20","36","5","26","108.7","34","7","316","8","18","1","1","34:10"
"103","35","23","483","391","92","1","28","40","0","0","115.7","19","1","47","3","8","0","2","26:19"
"113","36","25","456","307","149","","28","39","2","11","111.8","23","2","89","5","10","0","0","29:23"
"123","54","29","455","379","76","2","31","49","5","34","114.2","21","4","222","5","14","1","1","30:23"
"143","30","24","344","195","149","2","17","33","2","12","67.1","29","3","151","5","11","0","0","28:16"
"153","6","14","214","162","52","4","21","45","3","25","18.9","13","3","146","3","12","1","3","23:11"
"163","23","23","407","325","82","3","35","54","2","14","73.5","18","3","169","4","12","0","1","28:24"
"173","31","33","461","192","269","1","19","24","2","24","113.9","41","2","103","6","9","0","0","37:04"
"183","48","28","377","222","155","","17","29","0","0","122.4","42","3","130","10","16","0","1","31:50"
"24","30","22","349","183","166","1","23","39","1","3","68.6","32","4","144","9","17","0","0","33:16"
"34","27","20","380","265","115","1","19","28","3","18","110.0","30","4","199","5","13","0","0","30:21"
"44","20","20","344","254","90","3","24","38","2","14","78.2","24","2","79","6","14","0","0","28:23"
"54","40","36","518","490","28","4","45","68","2","27","78.7","11","1","41","4","11","0","1","27:24"
"64","29","24","477","395","82","2","29","49","0","0","83.3","18","3","153","3","11","0","0","24:42"
"73","7","10","157","48","109","1","13","24","4","30","59.7","22","5","269","0","9","0","4","21:08"
"84","37","23","381","291","90","","23","38","0","0","102.0","36","3","95","8","16","1","1","37:09"
"92","24","19","470","372","98","","17","31","0","0","119.3","26","5","222","7","13","0","0","27:17"
"114","12","16","306","218","88","4","22","42","4","25","37.6","23","8","379","1","14","0","2","28:20"
"124","17","13","283","173","110","2","11","18","0","0","69.9","34","6","329","3","10","0","0","27:16"
"133","6","14","221","199","22","2","26","37","2","13","60.5","9","4","200","2","9","1","1","20:04"
"144","34","27","549","417","132","","33","45","1","10","116.6","30","4","165","8","15","0","1","34:37"
"154","28","26","455","293","162","2","22","32","0","0","92.3","35","3","152","7","13","0","0","31:04"
"164","21","23","289","267","22","1","34","52","2","22","82.8","14","5","279","4","12","1","2","23:54"
"174","31","24","395","323","72","1","27","46","0","0","85.7","24","6","266","5","13","0","0","32:21"
"184","31","25","424","311","113","","29","45","1","8","106.8","33","4","156","11","18","0","1","36:58"
"25","20","23","422","269","153","1","20","31","1","6","78.6","40","3","142","9","17","1","1","35:38"
"35","37","30","449","258","191","1","20","27","1","9","140.7","39","2","96","7","12","1","1","31:13"
"45","32","28","478","311","167","2","23","32","2","10","110.3","32","0","0","6","10","0","1","32:12"
"55","17","15","240","182","58","1","25","32","2","18","100.8","23","5","280","5","13","1","1","26:42"
"65","30","20","429","300","129","1","21","30","1","9","110.4","35","5","205","6","15","0","1","35:35"
"74","16","17","311","198","113","1","19","38","0","0","72.0","19","6","291","4","12","0","1","22:05"
"85","24","24","371","211","160","1","23","33","1","9","107.0","34","5","221","4","13","0","0","32:35"
"93","17","31","471","340","131","4","35","61","2","15","64.9","29","6","284","7","17","0","1","36:30"
"115","23","24","389","283","106","1","27","37","3","19","94.8","29","4","158","9","15","1","1","33:36"
"125","27","22","413","376","37","2","39","51","0","0","99.8","20","5","217","8","15","0","0","33:13"
"134","20","14","308","182","126","4","19","31","2","16","50.7","28","7","343","4","13","0","0","25:57"
"145","38","30","463","344","119","1","37","47","1","7","104.3","31","1","44","9","15","1","3","38:53"
"155","24","17","318","132","186","1","16","25","1","5","74.1","36","6","248","3","14","2","2","31:46"
"165","20","16","303","189","114","1","22","34","3","20","86.5","19","5","179","2","11","0","1","25:45"
"175","9","20","334","216","118","1","24","43","3","18","59.8","29","4","169","9","19","0","2","32:50"
"185","18","21","333","223","110","2","22","38","2","8","63.8","30","5","222","6","15","1","1","37:51"
"26","34","18","386","312","74","","20","26","1","9","154.6","23","1","50","6","11","1","1","24:46"
"36","27","21","371","270","101","2","19","30","1","8","100.7","29","3","109","3","9","0","1","28:28"
"46","34","22","407","331","76","","27","38","1","12","132.7","24","3","119","10","15","0","0","30:10"
"56","20","24","401","280","121","2","26","41","0","0","89.5","23","1","37","6","11","0","1","24:50"
"66","26","24","476","358","118","1","25","37","1","7","96.5","29","5","232","2","10","1","1","33:03"
"75","38","22","365","234","131","2","22","30","2","17","107.5","34","4","160","2","11","2","2","32:22"
"86","28","22","374","327","47","","28","41","1","7","116.6","19","1","41","9","13","0","1","27:20"
"94","38","26","467","302","165","","22","34","1","8","122.4","31","4","178","4","11","0","1","33:35"
"104","16","22","347","253","94","2","31","48","5","41","67.4","21","4","199","4","15","2","3","32:21"
"116","10","16","278","226","52","2","27","42","2","19","66.2","10","3","124","3","10","0","2","20:57"
"135","28","15","353","285","68","3","21","39","2","17","92.4","20","5","205","4","13","0","1","20:20"
"146","37","24","418","290","128","","26","38","1","5","117.2","27","3","150","5","12","1","1","33:45"
"156","30","18","356","267","89","","23","30","3","20","136.4","21","3","120","6","12","0","0","29:04"
"166","20","20","332","209","123","1","21","29","4","35","101.1","29","3","130","6","12","0","1","35:06"
"176","30","22","356","197","159","3","21","37","0","0","46.8","33","2","108","7","14","1","1","30:00"
"186","20","20","373","300","73","3","26","35","1","9","94.9","20","2","92","3","9","1","1","26:21"
"19","24","19","265","201","64","2","21","32","5","37","88.2","27","4","198","10","17","1","1","31:24"
"27","10","19","243","191","52","3","29","41","7","49","58.1","18","4","180","6","13","2","3","28:46"
"37","31","24","337","272","65","3","27","36","1","0","100.7","26","0","0","6","10","0","1","30:24"
"47","20","15","339","239","100","1","18","25","1","10","101.9","20","3","135","3","8","0","0","26:04"
"57","9","21","257","200","57","2","32","48","7","54","66.3","18","4","229","5","15","2","2","34:34"
"67","10","14","323","285","38","3","29","44","5","35","82.1","15","6","223","6","17","1","1","30:30"
"76","24","22","360","249","111","1","26","33","1","4","95.6","29","5","240","6","12","0","0","37:05"
"95","14","16","223","167","56","","22","33","2","20","88.8","21","5","253","8","13","0","0","30:04"
"105","13","9","206","138","68","","13","27","4","27","75.8","24","9","477","4","15","0","0","28:44"
"117","17","18","256","190","66","2","25","37","3","19","77.5","20","5","252","3","11","2","2","27:59"
"126","20","17","336","188","148","","16","28","4","35","101.5","30","6","286","5","14","1","2","28:53"
"136","10","13","198","82","116","2","14","24","3","24","44.1","28","4","180","5","13","3","3","27:34"
"147","23","20","319","148","171","2","14","26","4","30","38.6","33","3","164","4","12","1","2","29:07"
"157","17","20","282","211","71","1","22","35","4","19","89.1","22","3","156","4","12","1","1","29:39"
"167","12","13","156","84","72","1","12","21","5","27","62.4","17","4","151","4","11","0","0","22:41"
"177","51","26","388","230","158","","24","28","0","0","124.7","36","0","0","6","10","1","1","36:35"
"187","10","12","277","111","166","1","11","19","3","21","74.7","26","5","222","4","11","0","0","28:08"
"191","16","14","269","123","146","1","13","26","5","24","47.4","28","6","286","4","14","1","1","29:55"
"28","26","21","395","290","105","2","23","34","1","8","89.1","35","4","231","4","14","0","0","35:27"
"38","24","25","402","346","56","","30","46","2","17","95.0","22","5","273","11","17","0","0","31:35"
"48","39","26","438","280","158","","24","36","1","5","108.6","32","4","205","9","14","0","0","34:13"
"58","48","22","378","243","135","","19","27","2","13","110.6","35","6","286","9","16","1","1","35:52"
"68","25","29","418","242","176","3","24","42","3","12","53.9","32","1","51","6","15","3","3","34:56"
"78","21","23","413","263","150","3","30","44","5","32","99.0","21","4","124","3","12","3","4","27:30"
"88","10","21","378","251","127","2","22","38","0","0","64.7","31","4","174","5","14","0","2","34:45"
"98","20","28","496","395","101","4","37","45","1","2","108.8","27","0","0","6","12","2","3","39:05"
"108","16","17","302","285","17","","30","45","2","18","91.4","14","7","304","5","15","0","0","32:08"
"128","21","21","375","275","100","4","25","46","1","5","66.8","24","5","253","8","16","0","1","27:21"
"138","10","22","326","210","116","3","22","31","2","20","73.3","24","2","98","5","11","0","1","26:32"
"148","19","21","319","255","64","1","30","45","3","14","79.4","18","4","193","8","16","0","0","28:45"
"158","0","15","230","176","54","4","25","41","5","59","50.5","16","5","228","4","14","1","4","28:21"
"168","23","22","328","245","83","1","22","35","1","1","81.2","33","5","216","7","14","0","0","34:33"
"178","20","21","373","296","77","1","23","30","2","10","118.2","30","1","25","9","15","0","0","35:38"
"188","17","25","414","327","87","2","24","36","1","7","102.4","26","2","74","8","12","0","0","30:26"
"211","24","19","374","322","52","","27","39","3","12","111.3","22","5","193","3","13","1","2","32:23"
"311","35","27","528","389","139","1","26","34","1","7","130.6","29","3","132","5","10","0","0","27:15"
"411","45","26","442","225","217","","20","30","2","15","111.1","31","2","90","5","11","2","2","27:26"
"511","48","25","571","481","90","1","28","37","3","22","142.0","25","3","158","8","13","0","0","33:49"
"611","23","19","372","250","122","1","15","28","2","17","95.8","32","3","185","2","12","2","3","28:52"
"711","24","22","362","310","52","2","27","42","4","25","100.3","18","4","165","3","11","1","2","29:51"
"811","30","21","386","256","130","1","22","34","3","17","84.9","26","2","101","6","12","0","1","30:30"
"911","33","25","367","277","90","","28","35","2","11","128.2","19","2","101","4","9","1","1","28:43"
"1011","43","31","461","325","136","1","25","34","2","19","142.4","34","0","0","6","10","0","0","33:28"
"118","15","11","303","255","48","1","18","33","2","12","77.2","13","4","162","2","11","0","1","21:50"
"1311","38","28","360","244","116","1","26","34","3","25","103.1","30","2","116","4","9","1","1","34:22"
"1411","28","32","418","290","128","1","22","34","2","7","89.1","30","1","46","6","10","0","1","31:52"
"1511","42","18","286","220","66","","18","30","2","17","116.0","25","8","415","4","13","0","0","27:08"
"1611","41","29","550","302","248","1","18","24","1","0","144.4","41","2","67","5","9","0","0","36:01"
"1711","33","21","408","256","152","","27","33","4","21","119.2","24","3","127","6","14","0","0","32:45"
"1811","38","25","465","323","142","","27","36","1","8","139.0","22","4","185","6","11","0","0","29:45"
"221","23","18","372","308","64","","21","30","2","13","114.3","23","3","178","5","11","0","0","30:34"
"321","34","19","364","223","141","","19","28","3","29","103.7","27","4","165","5","11","0","0","28:37"
"421","30","26","428","277","151","3","24","35","2","17","75.5","28","2","91","4","9","0","0","32:35"
"521","17","25","389","242","147","3","24","42","1","0","61.8","29","3","120","5","13","1","2","31:15"
"721","17","19","339","239","100","1","24","35","2","9","85.3","19","3","118","6","11","0","1","25:36"
"821","7","21","343","223","120","","23","33","1","10","98.4","22","2","84","2","9","1","3","25:55"
"921","25","18","386","246","140","2","18","29","1","8","112.1","32","5","214","5","14","0","0","28:19"
"1021","17","17","355","302","53","1","24","38","2","11","94.4","18","4","196","4","12","0","3","27:08"
"1111","27","22","336","204","132","1","22","29","1","11","103.2","34","2","85","7","13","0","1","32:06"
"1211","34","22","279","190","89","1","19","27","1","5","114.7","30","3","116","9","14","0","0","30:21"
"1321","34","23","516","368","148","1","27","36","0","0","125.7","28","2","104","11","14","0","0","30:06"
"1421","9","15","275","173","102","","16","29","0","0","72.9","22","4","197","1","10","1","1","25:58"
"1521","20","26","343","211","132","3","15","27","1","10","53.7","37","2","83","7","12","0","0","34:41"
"1621","24","24","410","209","201","","17","31","1","3","86.6","35","4","161","9","15","0","0","33:15"
"1721","13","15","331","264","67","2","22","36","5","24","81.3","20","5","234","2","13","1","2","26:12"
"1821","22","20","371","311","60","","28","45","1","6","90.1","26","5","233","6","16","0","0","34:42"
"231","12","16","299","225","74","1","21","43","4","26","54.9","18","6","286","4","15","0","1","27:50"
"331","31","23","442","272","170","1","23","28","0","0","116.1","32","4","179","6","11","0","0","29:42"
"431","37","24","407","359","48","","26","35","3","15","146.3","22","6","216","4","11","0","0","29:20"
"531","36","25","495","403","92","","29","39","3","16","132.7","24","1","41","11","15","0","1","29:22"
"621","17","22","324","262","62","1","31","45","6","43","91.2","19","4","117","6","14","1","3","30:52"
"731","34","26","417","347","70","","31","41","1","8","124.7","22","4","180","8","13","0","0","31:39"
"831","23","22","423","356","67","1","31","39","3","23","113.2","20","3","133","7","13","0","0","32:17"
"1031","38","25","491","337","154","1","26","38","2","13","120.2","24","2","103","10","13","0","0","32:56"
"1121","16","25","382","311","71","2","38","52","2","19","100.7","19","3","118","5","14","2","4","31:23"
"1221","19","19","354","274","80","1","24","34","3","17","92.0","18","2","62","6","12","0","0","28:03"
"1331","17","21","366","340","26","4","35","47","6","37","99.6","16","2","96","5","15","4","6","30:59"
"1431","16","16","131","97","34","1","16","27","3","34","78.8","15","5","252","2","9","0","1","20:21"
"1531","20","22","344","237","107","2","28","42","2","25","95.0","24","4","200","3","12","3","3","30:49"
"1631","40","23","435","220","215","","22","36","2","11","97.0","27","6","266","5","13","0","0","30:40"
"1731","24","16","427","233","194","2","15","26","1","6","126.0","21","5","235","4","10","0","0","22:31"
"1831","34","27","489","380","109","1","32","45","1","3","109.5","30","5","245","6","13","0","0","34:46"
"241","12","27","345","272","73","3","33","46","4","32","82.9","17","4","130","2","8","2","2","30:13"
"341","24","19","367","310","57","3","27","43","1","10","78.6","17","3","118","3","10","1","1","27:06"
"441","24","25","397","304","93","1","29","34","0","0","121.1","20","1","39","8","10","0","0","28:37"
"541","10","24","422","364","58","1","35","53","5","33","85.7","17","3","129","5","14","1","4","30:41"
"631","32","22","373","316","57","1","32","46","2","14","101.4","20","5","251","9","16","1","1","29:00"
"741","33","31","444","341","103","","30","36","2","15","143.2","25","3","130","6","11","0","0","32:47"
"841","10","14","224","186","38","3","22","33","5","38","78.6","15","5","205","3","12","0","0","22:51"
"931","20","30","510","441","69","3","39","52","2","19","98.3","17","1","36","3","9","1","1","30:47"
"1131","26","24","317","174","143","1","20","35","1","8","77.6","34","2","77","6","15","1","1","33:46"
"1231","29","20","349","295","54","","22","32","3","19","108.2","26","3","127","6","14","1","1","31:26"
"1341","22","22","337","280","57","2","28","55","6","46","64.2","19","6","261","4","16","2","3","31:38"
"1441","18","27","348","259","89","3","35","50","9","53","78.7","26","3","87","6","16","2","4","35:37"
"1541","40","22","461","302","159","","20","34","1","11","107.7","32","4","177","5","12","0","0","31:44"
"1641","29","20","290","201","89","1","25","39","2","9","94.1","20","5","252","7","13","0","0","29:12"
"1741","24","28","518","383","135","2","32","45","1","1","85.7","27","3","121","7","13","0","0","33:07"
"1841","28","28","373","286","87","1","30","51","6","27","81.0","30","2","70","7","18","1","3","36:22"
"251","25","28","506","434","72","2","37","54","2","16","97.3","21","2","100","7","14","0","4","29:24"
"351","39","22","380","267","113","","24","37","1","6","122.2","34","4","158","8","17","2","2","33:48"
"451","26","22","371","227","144","1","19","38","2","11","66.4","25","6","233","4","13","0","0","25:10"
"551","16","24","327","249","78","","28","39","4","36","88.5","25","3","122","3","12","2","4","30:22"
"641","16","21","373","207","166","1","21","37","2","19","61.4","24","3","139","6","13","1","1","26:55"
"751","40","24","462","363","99","1","30","40","2","8","135.7","37","2","68","9","17","3","3","40:07"
"851","22","26","388","322","66","1","31","42","2","16","103.5","26","4","180","7","14","1","2","30:45"
"941","25","28","401","270","131","1","21","30","2","11","84.0","36","1","39","3","9","0","0","36:30"
"1041","34","23","363","271","92","1","25","35","2","13","110.5","32","5","183","6","13","0","0","33:27"
"1241","9","14","248","196","52","2","19","37","8","36","44.4","14","5","250","2","14","2","3","26:19"
"1351","43","23","304","179","125","1","22","39","1","6","74.6","32","3","99","9","19","1","1","34:58"
"1451","16","21","332","262","70","1","19","39","3","11","79.2","21","5","218","5","13","0","1","23:06"
"1551","17","19","319","249","70","3","22","33","2","14","71.4","20","2","85","9","12","0","0","25:45"
"1651","27","23","369","332","37","","34","49","3","24","108.5","13","5","242","6","15","1","2","28:11"
"1751","14","23","367","277","90","1","27","35","4","23","118.4","23","5","222","6","12","0","0","33:12"
"1851","27","25","385","258","127","2","29","44","1","7","96.6","26","1","43","7","14","2","3","33:12"
"261","6","19","260","136","124","","21","35","3","28","68.3","26","6","279","3","14","1","3","28:58"
"361","25","19","348","293","55","3","35","48","1","7","76.1","20","4","157","6","15","1","4","33:31"
"461","17","18","296","227","69","1","27","36","3","16","109.4","20","6","284","5","13","0","0","28:09"
"561","30","24","374","275","99","","25","42","1","8","110.7","28","4","167","10","16","0","0","30:43"
"651","27","28","450","342","108","2","33","46","0","0","107.3","29","2","56","9","14","1","1","35:54"
"861","30","21","397","325","72","2","25","40","1","11","94.3","22","3","126","6","13","0","0","25:22"
"951","13","17","213","131","82","2","20","27","3","15","65.5","20","4","190","3","10","1","1","24:37"
"1051","27","18","366","332","34","","23","30","2","11","134.3","25","5","224","5","13","0","1","27:39"
"1141","3","11","214","111","103","3","10","27","2","20","10.5","24","5","231","1","11","0","2","22:19"
"1251","0","11","165","125","40","4","20","32","4","33","30.9","16","5","269","2","11","1","2","27:17"
"1361","21","21","332","183","149","1","19","29","1","7","80.1","29","5","224","5","12","0","0","30:52"
"1461","17","21","380","259","121","1","30","41","5","38","89.4","23","5","215","9","17","0","0","32:46"
"1561","29","20","318","190","128","1","19","28","0","0","98.8","36","2","110","7","14","2","2","34:37"
"1661","13","13","275","213","62","1","19","32","3","23","89.7","23","2","99","5","13","0","3","29:33"
"1761","20","14","254","207","47","1","18","24","3","8","114.4","18","2","115","2","8","1","1","21:55"
"1861","15","18","265","169","96","1","13","23","5","28","79.8","22","4","159","1","7","0","1","23:53"
"192","20","13","257","195","62","3","20","33","3","21","74.7","12","2","93","3","10","2","3","20:43"
"271","26","26","416","215","201","2","20","33","0","0","79.7","38","4","180","5","13","0","0","33:44"
"371","27","17","261","171","90","3","17","26","3","25","77.6","27","1","44","3","10","1","2","29:36"
"471","27","24","386","207","179","2","13","20","3","22","95.2","31","1","73","4","7","0","0","28:14"
"571","23","19","333","131","202","1","7","19","1","8","39.6","35","3","153","3","9","0","0","24:16"
"661","15","19","261","110","151","","14","25","5","37","80.4","31","6","290","6","14","1","1","30:34"
"761","28","18","289","121","168","","13","14","2","8","142.3","40","5","215","9","14","0","0","33:25"
"87","17","13","214","107","107","","8","13","3","17","113.3","29","6","282","4","10","0","0","26:55"
"96","37","21","406","239","167","2","20","28","2","14","103.1","37","4","210","6","12","0","0","36:34"
"106","17","19","315","114","201","2","12","23","2","15","66.2","35","4","204","5","11","0","0","31:49"
"1151","15","20","291","153","138","1","19","30","5","33","84.4","25","5","174","3","11","0","2","25:48"
"1261","27","18","280","131","149","2","13","20","0","0","100.2","33","3","139","2","9","1","1","24:50"
"137","13","18","332","165","167","1","15","25","1","9","76.2","29","3","122","4","10","0","1","26:51"
"1471","16","18","306","160","146","1","13","24","1","7","71.5","28","3","137","3","10","1","1","27:05"
"1671","18","21","320","89","231","1","13","26","4","8","58.0","39","5","208","9","16","0","1","30:56"
"1771","9","17","327","212","115","1","22","33","2","6","84.4","33","3","112","5","14","1","4","32:44"
"1871","20","20","298","166","132","1","19","26","1","3","89.6","34","3","148","5","11","1","2","32:24"
"1911","30","22","382","208","174","1","19","30","2","16","106.0","35","3","154","6","15","3","3","34:49"
"29","20","17","263","158","105","1","18","31","2","17","69.0","35","4","179","8","17","1","1","34:06"
"39","24","25","350","178","172","1","18","37","2","17","69.4","33","7","377","4","13","0","0","32:29"
"49","27","24","431","312","119","","20","31","1","3","119.3","30","4","173","5","11","1","1","27:16"
"59","37","17","244","111","133","1","11","22","2","13","95.1","33","4","154","3","11","0","0","27:50"
"79","27","25","383","248","135","2","20","36","3","21","63.2","33","5","243","4","11","0","1","32:12"
"89","27","21","394","190","204","3","14","24","1","7","58.0","33","4","157","2","9","0","0","28:54"
"99","29","17","379","239","140","3","16","35","2","9","75.8","36","7","293","4","16","2","2","33:40"
"109","37","20","427","297","130","1","15","30","0","0","104.4","36","6","289","5","15","0","0","32:12"
"119","27","24","303","184","119","","21","25","5","33","110.7","34","4","189","7","13","0","0","35:55"
"129","44","27","368","226","142","","21","34","2","20","120.8","39","4","207","7","14","0","1","38:07"
"139","33","18","294","165","129","","16","27","1","18","76.9","37","2","80","8","16","0","0","35:14"
"149","41","33","497","322","175","3","28","41","1","9","121.1","34","3","114","3","8","2","2","36:34"
"159","38","20","424","282","142","","19","27","2","19","141.3","32","4","196","6","12","0","1","31:21"
"169","38","28","480","309","171","1","25","45","3","31","114.0","29","7","318","9","17","0","0","30:52"
"179","13","18","268","113","155","1","17","30","2","29","65.0","20","3","130","4","10","0","1","24:22"
"189","38","23","366","255","111","2","21","26","4","38","133.2","32","2","76","7","10","0","0","31:50"
"212","20","21","333","176","157","1","18","33","3","18","67.2","32","4","252","9","15","0","0","32:19"
"312","46","26","529","353","176","4","24","40","1","0","111.8","37","3","123","7","15","0","0","35:54"
"412","10","18","306","201","105","3","22","36","8","64","41.6","28","4","189","6","16","0","2","34:52"
"512","33","20","378","329","49","2","31","48","1","8","87.9","15","6","304","7","16","1","1","26:11"
"69","14","20","414","278","136","4","18","28","0","0","67.3","25","4","177","1","8","1","1","25:51"
"712","38","32","406","303","103","2","27","47","2","19","82.1","27","5","242","3","11","1","1","31:05"
"912","30","19","349","208","141","1","14","27","1","4","77.4","36","3","157","6","14","1","2","30:48"
"1012","13","16","244","185","59","","20","32","5","40","88.7","25","6","282","6","15","0","0","34:12"
"1112","17","22","341","242","99","2","23","38","2","19","76.9","29","5","223","6","14","1","1","35:12"
"1212","23","17","223","173","50","","14","33","2","19","69.4","27","6","280","7","17","0","0","27:45"
"1312","32","19","358","229","129","2","14","29","2","17","83.8","25","6","280","3","10","0","1","26:23"
"1412","7","14","271","182","89","2","14","33","0","0","57.9","21","6","254","5","12","0","1","25:59"
"1512","28","17","272","146","126","1","10","27","2","14","52.4","38","5","215","5","15","1","1","32:37"
"1612","26","22","438","290","148","","21","37","2","10","100.1","33","6","208","4","15","0","0","34:39"
"1712","16","17","302","183","119","2","18","43","2","15","43.1","23","3","130","4","15","3","4","27:15"
"1812","16","18","335","207","128","3","18","32","3","30","47.3","32","4","164","4","15","2","2","32:24"
"222","23","20","287","171","116","2","14","25","0","0","87.2","38","3","155","7","13","0","0","34:21"
"322","9","19","255","178","77","","20","32","6","50","77.3","28","6","249","7","16","0","0","38:53"
"422","13","18","288","156","132","3","19","33","4","28","31.9","22","3","129","7","14","0","0","28:51"
"522","33","28","444","304","140","2","22","29","2","12","129.1","29","1","35","6","9","0","0","28:53"
"612","27","16","362","334","28","","26","33","3","21","139.1","28","5","234","7","16","0","0","35:23"
"722","23","23","305","225","80","3","28","52","2","14","47.4","25","3","136","4","16","1","3","31:26"
"812","3","20","293","185","108","3","21","34","5","26","51.7","30","5","263","6","15","0","1","38:35"
"922","17","14","254","154","100","1","18","32","0","0","66.4","31","7","353","8","17","0","0","32:11"
"1022","20","20","330","129","201","2","13","24","1","8","69.6","38","5","249","4","13","1","2","32:52"
"1122","45","30","548","254","294","","21","35","0","0","120.4","36","2","85","11","14","0","0","35:39"
