"","Pts","1stD","TotYd","PassY","RushY","TO","Cmp","PA","Sk","SkYds","QBR","RA","Pnt","PntYds","3DConv","3DAtt","4DConv","4DAtt","ToP"
"7114","3","11","230","197","33","2","20","37","1","8","46.8","14","7","295","2","13","1","2","23:58"
"8114","24","16","344","189","155","2","13","22","5","26","117.4","39","6","237","6","16","0","1","36:37"
"9114","31","21","393","222","171","","16","34","2","6","78.3","35","6","282","7","15","1","1","33:41"
"10114","23","18","331","191","140","2","18","29","3","22","64.0","21","3","121","3","11","0","0","29:38"
"11114","6","17","296","157","139","1","19","32","1","6","69.4","25","8","342","4","12","0","0","25:31"
"13114","17","16","333","269","64","2","22","32","1","0","115.2","23","4","178","5","11","0","0","29:24"
"14114","10","13","250","214","36","3","16","37","1","2","37.4","14","5","230","3","11","1","2","21:36"
"15114","23","24","404","216","188","1","23","35","6","41","70.7","40","6","237","8","18","1","1","41:55"
"16114","13","20","360","244","116","4","25","46","3","22","49.5","23","4","119","5","15","0","3","32:32"
"17114","3","14","239","128","111","4","8","24","2","8","12.5","29","4","180","1","11","2","3","25:17"
"18114","30","18","329","202","127","","20","30","1","8","107.9","30","5","231","4","13","0","2","31:27"
"2212","12","11","214","176","38","2","26","39","1","11","55.1","15","6","297","4","14","1","1","26:56"
"3212","20","17","271","145","126","2","16","24","4","21","110.6","25","3","119","7","12","0","0","28:58"
"4212","20","16","336","233","103","1","18","23","2","16","123.4","34","5","243","4","13","0","0","36:08"
"5212","23","18","471","215","256","2","23","32","5","40","77.0","32","6","262","6","17","1","1","34:24"
"6114","17","14","212","178","34","1","23","30","3","16","99.0","18","6","308","4","12","0","0","25:34"
"7212","17","23","408","334","74","3","31","47","4","20","83.1","24","4","187","9","17","1","3","33:40"
"8212","28","16","272","180","92","2","17","27","3","29","103.9","22","7","321","4","11","0","0","28:02"
"9212","20","15","279","236","43","1","26","33","3","21","116.7","22","5","262","5","15","1","1","31:41"
"10212","34","21","331","137","194","","14","20","1","3","105.6","41","5","208","6","14","0","0","33:30"
"11212","10","15","275","219","56","2","23","39","6","43","72.5","19","7","354","3","15","1","2","28:06"
"13212","27","21","391","282","109","1","19","36","3","25","106.5","26","7","318","5","14","0","0","28:10"
"14212","38","30","488","331","157","","26","36","0","0","109.8","49","2","73","13","20","1","1","42:49"
"15212","0","6","100","41","59","2","8","21","4","19","26.5","23","8","365","3","13","0","1","22:25"
"16212","19","19","294","170","124","2","19","39","1","9","48.0","28","7","316","5","15","0","1","30:50"
"17212","7","13","295","98","197","3","15","28","3","21","46.4","30","9","421","3","14","0","1","27:02"
"18212","6","14","247","207","40","","19","36","4","25","70.0","19","7","324","0","12","1","1","25:11"
"2311","48","18","349","180","169","2","16","21","2","18","113.2","36","3","112","6","14","2","3","33:07"
"3311","12","21","362","320","42","3","25","41","3","14","73.2","19","5","263","3","10","0","0","31:35"
"4311","17","14","268","161","107","3","15","31","2","8","37.2","30","7","344","6","15","1","1","29:08"
"5311","12","10","178","144","34","","17","34","3","23","71.2","14","7","345","3","13","0","1","22:25"
"6212","34","18","512","189","323","2","10","22","1","9","96.4","38","3","134","6","13","0","0","28:54"
"7311","42","18","374","267","107","2","24","30","2","13","112.1","36","1","43","6","15","0","0","37:02"
"8311","17","16","263","192","71","4","17","42","3","14","33.0","24","8","377","2","13","1","2","27:49"
"9311","10","12","207","150","57","","14","29","1","3","75.4","24","8","337","3","14","1","1","27:16"
"10311","6","15","282","202","80","4","21","39","4","27","29.0","21","6","277","2","13","0","2","31:34"
"11311","10","12","199","116","83","2","17","34","3","19","33.5","18","7","312","1","12","2","3","20:38"
"13311","13","18","338","264","74","1","26","45","2","12","72.8","15","5","222","6","14","0","1","25:34"
"14311","22","15","280","124","156","1","17","30","2","4","52.6","33","6","267","3","14","0","0","33:22"
"15311","27","15","248","170","78","2","16","25","0","0","80.4","28","3","120","6","13","1","1","26:13"
"16311","22","21","318","228","90","1","24","38","3","25","97.3","31","4","197","9","17","1","3","35:04"
"17311","38","23","370","323","47","","24","35","2","18","126.2","20","4","176","3","11","2","2","29:18"
"18311","3","12","239","135","104","3","16","28","4","32","69.8","23","5","237","4","13","0","2","27:47"
"2411","16","17","223","155","68","1","28","41","4","20","82.9","21","7","304","7","17","1","2","32:01"
"3411","3","13","262","169","93","1","23","31","4","32","86.6","24","7","329","2","14","0","2","30:19"
"4411","14","6","105","69","36","1","12","22","5","29","41.7","20","10","464","0","12","0","1","24:46"
"6311","6","9","128","61","67","3","15","26","10","59","30.6","19","8","407","3","14","0","1","29:08"
"7411","24","20","382","326","56","1","23","32","2","12","112.2","20","4","181","2","10","0","0","27:57"
"8411","0","12","154","73","81","6","11","32","1","13","3.6","20","5","231","2","11","0","1","21:33"
"9411","15","15","213","167","46","3","21","30","8","51","66.2","14","5","246","2","9","1","2","26:39"
"10410","18","17","321","238","83","1","27","39","3","22","83.1","21","4","176","5","14","2","2","28:46"
"11411","34","18","294","218","76","","19","30","2","12","96.2","29","5","228","4","13","1","1","30:44"
"12114","34","23","400","285","115","2","19","31","2","8","117.6","33","4","168","5","12","1","1","32:19"
"13411","34","21","401","313","88","1","20","29","1","2","127.5","30","4","190","5","12","0","0","31:30"
"14411","6","15","271","209","62","","28","48","4","30","68.8","17","6","249","7","17","0","2","28:19"
"15411","22","22","374","262","112","1","20","36","1","8","85.6","32","3","125","6","14","0","1","29:54"
"16411","21","13","310","207","103","2","18","32","1","11","83.7","24","4","204","6","14","0","2","28:22"
"17411","16","14","259","174","85","1","16","26","2","9","94.1","32","6","275","4","15","1","1","28:28"
"18411","13","18","271","185","86","1","23","36","2","14","74.4","27","5","214","5","14","0","0","31:21"
"2511","17","15","254","202","52","2","21","35","3","13","73.8","15","6","278","4","11","0","0","18:43"
"3511","13","17","277","173","104","","21","32","1","6","89.7","29","5","222","5","14","0","2","27:47"
"4511","7","15","260","151","109","3","17","29","2","17","44.5","29","5","210","3","12","0","1","29:52"
"5411","28","18","321","192","129","","25","44","6","54","67.6","24","3","146","8","19","0","2","28:21"
"6411","10","21","285","162","123","","18","33","3","33","78.1","28","6","279","4","13","0","2","27:45"
"7511","0","13","263","148","115","1","21","44","3","38","46.4","22","10","462","2","17","2","3","31:55"
"8511","10","17","191","91","100","2","12","23","6","29","25.8","22","4","168","2","8","0","1","25:27"
"9511","9","13","221","128","93","1","18","30","1","5","69.9","25","5","227","2","12","2","2","28:30"
"1059","27","18","322","257","65","1","18","25","1","5","127.8","18","2","83","6","10","0","0","23:02"
"12212","28","20","292","196","96","1","15","30","1","9","79.3","24","4","164","5","11","1","2","23:32"
"13511","3","10","260","173","87","2","16","27","3","24","47.3","23","6","286","3","13","0","1","27:23"
"14510","28","24","376","170","206","3","14","23","3","16","94.5","34","4","182","5","9","0","0","28:59"
"15511","3","12","185","116","69","1","14","26","3","16","65.5","23","5","197","4","12","0","0","25:32"
"16511","23","17","289","196","93","","22","31","2","11","98.3","31","5","247","7","17","1","1","34:15"
"17511","23","18","333","202","131","","17","33","2","16","100.8","34","7","260","7","18","0","0","31:48"
"18511","14","21","350","239","111","2","23","34","3","27","73.0","25","5","187","3","10","1","1","33:32"
"2611","14","16","252","207","45","1","20","37","6","51","77.2","17","7","347","4","13","1","2","28:40"
"3611","6","18","336","184","152","4","19","33","4","26","33.7","31","1","45","5","13","1","3","32:08"
"4611","0","11","162","119","43","2","19","35","5","41","37.7","13","6","280","4","13","0","2","24:13"
"5511","27","16","355","289","66","1","21","34","1","8","96.3","25","6","277","6","14","0","0","29:03"
"6511","20","17","230","166","64","1","19","32","2","26","60.2","18","4","205","5","10","0","0","24:06"
"869","13","18","299","237","62","3","26","42","2","16","65.3","17","2","100","7","13","0","2","27:48"
"968","34","32","511","414","97","3","39","49","2","8","105.3","27","1","45","6","11","0","0","36:21"
"1065","30","30","486","398","88","2","34","52","2","14","106.1","21","3","156","8","14","1","1","29:33"
"11510","17","22","366","296","70","5","27","47","1","2","47.8","22","3","135","3","13","1","2","32:33"
"12311","17","18","380","278","102","1","24","39","2","13","100.2","18","4","152","7","14","1","1","26:25"
"13610","21","18","266","109","157","1","14","24","4","36","52.3","34","4","156","2","13","2","2","33:42"
"14610","18","21","281","211","70","1","23","38","2","15","82.2","17","2","78","3","9","2","3","24:24"
"15611","9","13","256","178","78","","19","42","3","24","57.4","17","6","313","3","14","1","3","21:08"
"16611","24","16","228","126","102","1","13","24","6","44","69.1","24","6","279","3","11","0","1","25:38"
"17611","26","18","373","100","273","","14","22","1","2","89.2","36","1","55","4","12","3","5","27:42"
"18611","24","22","374","224","150","1","19","33","1","10","88.4","26","4","154","6","11","0","1","26:57"
"1921","10","4","53","5","48","","7","20","9","82","60.4","17","11","497","1","14","1","1","23:00"
"2711","9","24","380","297","83","2","37","59","3","12","73.9","17","6","253","2","14","3","4","32:30"
"3711","31","20","402","309","93","1","27","45","2","15","110.3","20","4","189","8","15","1","1","27:46"
"4711","12","19","328","252","76","4","28","52","4","33","51.1","20","3","146","7","18","0","3","27:36"
"5611","24","19","348","250","98","2","19","37","1","4","68.5","29","5","235","6","15","1","1","29:59"
"669","40","21","322","187","135","","14","21","2","23","94.7","33","4","185","5","11","0","1","30:58"
"768","27","14","278","99","179","","10","18","2","11","71.3","33","6","268","1","11","0","0","28:48"
"872","16","10","260","105","155","","16","26","3","16","70.2","24","8","438","3","14","0","0","27:37"
"975","17","17","387","336","51","3","20","41","2","19","62.7","15","4","188","5","14","0","1","24:26"
"1072","20","21","310","136","174","1","18","25","2","18","98.1","34","3","147","5","13","2","2","32:44"
"12411","3","6","103","44","59","","9","22","4","33","48.7","23","10","458","3","14","0","0","24:30"
"1379","31","22","466","308","158","","22","29","1","7","144.0","32","2","118","7","12","0","1","32:05"
"1478","22","23","486","366","120","2","31","58","1","3","58.5","24","2","81","3","16","2","5","31:38"
"1578","12","19","309","233","76","2","28","47","4","36","72.4","22","7","311","8","17","0","1","34:25"
"16711","17","18","337","287","50","1","18","35","4","30","86.3","22","6","300","7","14","1","1","27:28"
"17711","3","10","227","161","66","2","19","33","3","21","57.8","20","5","201","2","13","1","5","25:08"
"1878","6","20","279","204","75","3","23","46","4","36","44.1","17","3","130","4","13","0","2","26:22"
"19111","6","11","187","149","38","","18","33","0","0","66.4","20","5","241","7","16","0","0","24:35"
"260","42","20","309","185","124","1","13","15","2","24","157.6","32","4","189","4","9","0","0","31:30"
"360","14","21","385","219","166","3","21","37","7","38","92.1","30","6","298","7","16","2","2","35:11"
"460","33","28","433","345","88","2","27","44","3","22","82.1","27","5","212","4","13","1","1","34:59"
"660","13","17","276","179","97","1","21","32","2","8","67.1","28","6","251","5","13","0","0","35:31"
"760","10","22","299","236","63","4","26","41","6","46","66.7","18","3","125","2","10","1","2","28:07"
"860","7","15","256","179","77","2","22","35","1","8","61.5","16","7","305","1","9","0","1","25:15"
"960","6","15","211","125","86","3","22","31","7","46","64.6","20","7","349","1","12","0","1","31:08"
"1060","34","25","483","371","112","1","28","39","0","0","135.7","28","5","253","5","13","0","0","32:21"
